modelo,n,RMSE_log,MAE_log,MAPE_niv,DA_pct,DM,p_DM,p_FDR,DM_ingenuo,p_ingenuo,mejora_MAPE_pp,signif_FDR,ventana
INGENUO (precio ayer),1096,0.11452366910855453,0.07668532379548709,7.757364184442649,,,,,,,,False,2020-01-01_2022-12-31
AR+HIDRO+OFERTA,1096,0.1140255560493972,0.07983230051825657,7.922051663994817,57.57299270072993,-2.9297467521302543,0.003462730706435879,0.008079704981683719,-0.2791360204114205,0.7801931512464029,0.540284267950967,True,2020-01-01_2022-12-31
AR+HIDRO+OFERTA+DEM,1096,0.11361569840719393,0.08008123169286516,7.974532635840791,58.21167883211679,-3.2095508412174736,0.0013680417215520269,0.006302813599172952,-0.4962267571545726,0.6198340250639549,0.4878032961049934,True,2020-01-01_2022-12-31
AR+OFERTA,1096,0.11469176819186226,0.08085093935879813,8.144939757939811,56.84306569343066,-3.1289299770653867,0.0018008038854779862,0.006302813599172952,0.12684118116924575,0.8990893881201378,0.31739617400597275,True,2020-01-01_2022-12-31
AR+HIDRO,1096,0.11720187902886262,0.08227356251580496,8.158841779504767,54.47080291970803,-1.2783373621702938,0.2014013911839374,0.28196194765751237,1.4087915766115873,0.15918069479251185,0.30349415244101685,False,2020-01-01_2022-12-31
AR+HIDRO+OFERTA+COMB,1096,0.11873306400245849,0.08390727817246978,8.322655853196444,56.660583941605836,-0.1746701000474176,0.8613711527155816,0.9444840859319441,1.9759387123418797,0.04841242787457789,0.13968007874933974,False,2020-01-01_2022-12-31
COMPLETO,1096,0.11895363514008986,0.08456473709336243,8.397164520269085,56.934306569343065,-0.06965109377148472,0.9444840859319441,0.9444840859319441,2.022743415437752,0.04334227232869359,0.06517141167669926,False,2020-01-01_2022-12-31
AR,1096,0.11910519372138384,0.08389756820490608,8.462335931945784,53.74087591240876,,,,3.146048188583005,0.0016995548640534874,0.0,False,2020-01-01_2022-12-31
AR+COMBUSTIBLE,1096,0.12345098571683875,0.08724621533969731,8.753946461620188,53.01094890510949,2.4286620073309764,0.015314819139750968,0.026800933494564194,4.951948571741449,8.503862534148254e-07,-0.29161052967440426,True,2020-01-01_2022-12-31
