,bloque,grupo_corr,adf_pvalue,estacionaria,mi,mi_n_obs,granger_p,granger_p_fdr,granger_signif,lasso_abs,perm_imp,r_mi,r_lasso,r_perm,voto_granger,voto_mi,voto_lasso,voto_perm,votos,score
demanda_upme_alto_lag3,DEMANDA,37,0.008727738991629486,True,1.0239411802382006,1823,0.9666110303073967,0.9666110303073967,False,0.0,-9.30466144987152e-06,0.8980263157894737,0.4471947194719472,0.3102310231023102,0,1,0,0,1,0.5518173527879103
disp_comercial_lag3,OFERTA,67,0.09709221790882716,False,0.4113494651834442,1823,0.00017287667853833896,0.0005775220909412642,True,0.0,6.864334672762596e-06,0.5296052631578947,0.4471947194719472,0.6765676567656765,1,0,0,0,1,0.5511225464651729
capacidad_por_embalse_lag1,HIDRO,120,0.19754571383705705,False,0.8471335476714916,1825,0.08357562711591568,0.14945288613669627,False,0.0,-4.4408920985006264e-17,0.756578947368421,0.4471947194719472,0.4438943894389439,0,1,0,0,1,0.5492226854264374
precio_cont_no_regu_lag30,CONTRATOS,62,0.840564894896979,False,0.753776023776247,1796,0.06298557860538967,0.118929291279742,False,0.0,-2.2204460492503132e-17,0.7138157894736842,0.4471947194719472,0.4801980198019802,0,1,0,0,1,0.5470695095825372
oni_lag2,HIDRO,59,0.760680015298187,False,1.007706396257908,1824,0.3351308598747136,0.42987249536672123,False,0.0,-8.922173936121159e-06,0.875,0.4471947194719472,0.31353135313531355,0,1,0,0,1,0.5452420242024202
restricciones_sin_aliv_lag30,EXPOST,81,0.017961754608142592,True,0.28614581405492245,1796,0.10199426775209926,0.17517659546123263,False,0.0,2.7318469538417656e-05,0.41118421052631576,0.4471947194719472,0.759075907590759,0,0,0,1,1,0.539151612529674
capacidad_efectiva_d7,OFERTA,151,1.4944752067645257e-13,True,0.20067756681460658,1818,0.6657846003516502,0.7306805722270818,False,0.0,5.636509004043333e-05,0.3026315789473684,0.4471947194719472,0.8514851485148515,0,0,0,1,1,0.533770482311389
demanda_upme_alto_lag2,DEMANDA,37,0.008784652907693225,True,1.0259987413505893,1824,0.7438092433301666,0.7906224124908064,False,0.0,-2.1363113350048035e-05,0.9013157894736842,0.4471947194719472,0.2508250825082508,0,1,0,0,1,0.5331118638179607
disp_real_lag14,OFERTA,69,0.028430690379383863,True,0.3198668445586268,1812,0.002059031284532402,0.00564518337740889,True,0.0,6.982728731763644e-06,0.46381578947368424,0.4471947194719472,0.6798679867986799,1,0,0,0,1,0.5302928319147705
demanda_upme_bajo_lag3,DEMANDA,37,0.0033547711539330003,True,0.8681814723676271,1823,0.9412848328913421,0.947518507281351,False,0.0,-3.2700365705351507e-06,0.7697368421052632,0.4471947194719472,0.36633663366336633,0,1,0,0,1,0.5277560650801921
gen_seguridad_lag3,EXPOST,9,1.959008255203623e-09,True,0.13709327229500623,1823,0.09413800792857968,0.16353116805878984,False,0.0,8.789546704742745e-05,0.23026315789473684,0.4471947194719472,0.9042904290429042,0,0,0,1,1,0.5272494354698628
aportes_pct_rio_lag14,HIDRO,24,4.1202807147699737e-14,True,0.24809203167140037,1812,0.6315793722596346,0.703297176435637,False,0.0,2.438968412404874e-05,0.3618421052631579,0.4471947194719472,0.7491749174917491,0,0,0,1,1,0.519403914075618
volumen_util_pct_lag1,HIDRO,85,0.0003285154275391874,True,0.617934647083473,1825,1.8271750403197795e-10,1.0891396318768881e-09,True,0.0,-2.603877274798272e-07,0.680921052631579,0.4471947194719472,0.40264026402640263,1,0,0,0,1,0.5102520120433096
demanda_upme_bajo_lag2,DEMANDA,37,0.003387256051355889,True,0.8804346849409503,1824,0.7750305950853924,0.806881167486162,False,0.0,-9.414180754230284e-06,0.7763157894736842,0.4471947194719472,0.3069306930693069,0,1,0,0,1,0.5101470673383128
