modelo,n,RMSE_log,MAE_log,MAPE_niv,DA_pct,DM,p_DM,DM_ingenuo,p_ingenuo,mejora_MAPE_pp,ventana
INGENUO (precio ayer),1096,0.11452366910855453,0.07668532379548709,7.757364184442649,,,,,,,2020-01-01_2022-12-31
AR,1096,0.11737554536502022,0.08353292885149875,8.458663889461688,50.638686131386855,,,2.013120474514466,0.044346318349515634,0.0,2020-01-01_2022-12-31
AR+CONTRATOS,1096,0.11629971518088998,0.08147561097189825,8.229754500105724,55.018248175182485,-1.1570218902988625,0.24751575384002633,1.2541282185768272,0.21006306107158856,0.22890938935596417,2020-01-01_2022-12-31
AR+COSTO,1096,0.11836357718249858,0.08425392483660439,8.567845036625197,52.645985401459846,1.290773256038979,0.1970547715742763,2.717663904007366,0.006678202325984817,-0.10918114716350935,2020-01-01_2022-12-31
AR+DEMANDA,1096,0.11601106414884818,0.08207784448189027,8.29480941995123,56.75182481751825,-1.0967055484112231,0.2730112554398274,0.9677858631520375,0.3333650272792066,0.1638544695104578,2020-01-01_2022-12-31
AR+EXPOST,1096,0.11853051625477323,0.08480532760456835,8.559774171985275,54.653284671532845,1.0952702384279294,0.273639106350523,2.710726010903524,0.0068185751491447455,-0.101110282523587,2020-01-01_2022-12-31
AR+HIDRO,1096,0.11504712654104056,0.08135807267684242,8.102598911838086,56.02189781021898,-1.4552708181418696,0.1458809145906681,0.26271918743043576,0.7928164468674597,0.35606497762360156,2020-01-01_2022-12-31
AR+OFERTA,1096,0.11299332131805528,0.07978306959402817,8.013026613968325,57.11678832116789,-3.473854501201479,0.0005330974943311695,-1.0947411942805383,0.2738707764227293,0.44563727549336285,2020-01-01_2022-12-31
AR+REGULATORIO,1096,0.11821014736326824,0.08455658308877359,8.572065906861019,52.37226277372263,0.9708920479659781,0.3318164461304911,2.797286894632992,0.005243651829539342,-0.11340201739933065,2020-01-01_2022-12-31
