modelo,grupo,n,MAPE_%,RMSE_COP,MAE_COP,RMSE_log,DA_%
Ingenuo (precio ayer),dentro de rango,1094,12.805319851494454,107.38725337198905,53.93206140767823,0.18427886732843668,
Ingenuo (precio ayer),fuera de rango,2,40.13206917565132,1153.3324281798496,982.7449108333324,0.724132408630355,
Δ expansiva,dentro de rango,1094,12.447001231054031,103.21483372166396,51.45478568536027,0.17311379528200566,63.61974405850091
Δ expansiva,fuera de rango,2,40.76743425317782,1135.1924188682833,994.951959362107,0.69624034624467,50.0
Δ deslizante,dentro de rango,1094,12.615653265650886,103.3945933834042,51.846253365322404,0.1745849579498999,63.07129798903108
Δ deslizante,fuera de rango,2,40.919147010486064,1144.5711408235554,999.1449651784615,0.7071944627304559,50.0
NIVEL (nb 04),dentro de rango,1094,12.500554190990314,98.42406443208742,55.41336546049715,0.16757441657343378,61.88299817184644
NIVEL (nb 04),fuera de rango,2,53.63437853234488,1318.1556339703818,1287.1138662784324,0.8144765316815133,50.0
