modelo,grupo,n,MAPE_%,RMSE_COP,MAE_COP,RMSE_log,DA_%
Ingenuo (precio ayer),bajo,366,16.32240554195221,46.806794504832105,29.21750517759563,0.21832971554490882,
Ingenuo (precio ayer),medio,364,13.425093973974114,73.27601699334325,52.98045428571429,0.1875503285806839,
Ingenuo (precio ayer),alto,366,8.821173281434827,184.95362476797496,84.66850477231328,0.14737567765439025,
Ingenuo (precio ayer),2023,365,10.772165955052659,70.88631253764481,48.43682881278538,0.1561918472013466,
Ingenuo (precio ayer),2024,366,13.476425269391623,184.9269767324589,84.8960751183971,0.20128762837291342,
Ingenuo (precio ayer),2025,365,14.315265297793648,50.364240819405985,33.46783285388127,0.199079647534626,
Δ expansiva,bajo,366,16.422710989967463,47.730744778582064,28.78144867645291,0.21229672902117516,63.387978142076506
Δ expansiva,medio,364,12.605335096361614,69.29763501573188,49.55851722847913,0.16837046456357208,63.73626373626373
Δ expansiva,alto,366,8.468579283813515,178.4130017434213,81.16975128896223,0.13770599645842832,63.661202185792355
Δ expansiva,2023,365,10.378205356740162,69.02532868057025,46.94917779782395,0.14509045360610276,64.10958904109589
Δ expansiva,2024,366,12.754990701294433,178.55840617002315,80.09071357467232,0.1904081469481116,63.114754098360656
Δ expansiva,2025,365,14.36214428327546,47.50713512960521,32.41585861362337,0.18727890784825715,63.561643835616444
Δ deslizante,bajo,366,16.9647515770839,48.26353457261568,29.50972432462466,0.21801795989762876,60.92896174863388
Δ deslizante,medio,364,12.543942325051912,68.12474657445637,49.22384896055551,0.16550947833710167,63.46153846153846
Δ deslizante,alto,366,8.492537931998465,179.3549735126203,81.96735242504046,0.1380724423804586,64.75409836065575
Δ deslizante,2023,365,10.53410400542787,69.84162790882165,47.96858705725269,0.14743230124265974,62.73972602739726
Δ deslizante,2024,366,12.586344125612886,178.713806682008,79.43147662988929,0.18850658398344508,63.114754098360656
Δ deslizante,2025,365,14.88167960188371,48.12872851120842,33.253798327624445,0.19164615954803843,63.287671232876704
