modelo,grupo,n,MAPE_%,RMSE_COP,MAE_COP,RMSE_log,DA_%
Ingenuo (precio ayer),dentro de rango,1094,12.805319851494454,107.38725337198905,53.93206140767823,0.18427886732843668,
Ingenuo (precio ayer),fuera de rango,2,40.13206917565132,1153.3324281798496,982.7449108333324,0.724132408630355,
XGB expansiva,dentro de rango,1094,12.500554190990314,98.42406443208742,55.413365460497154,0.16757441657343378,61.88299817184644
XGB expansiva,fuera de rango,2,53.63437853234488,1318.1556339703818,1287.1138662784324,0.8144765316815133,50.0
XGB deslizante,dentro de rango,1094,13.985847197900632,118.05645072618064,65.70352350922934,0.18903489886823735,59.597806215722116
XGB deslizante,fuera de rango,2,55.2138623065923,1331.3086213643785,1319.2760394379347,0.8157933519389416,50.0
RF referencia,dentro de rango,1094,12.878878882892334,111.72890085812814,58.26659981494338,0.17665189576052764,58.13528336380256
RF referencia,fuera de rango,2,53.75366853986437,1335.5002274167414,1292.5411794885936,0.8413121964068629,0.0
