,n,MAPE_%,RMSE_COP,MAE_COP,RMSE_log,DA_%
Ingenuo (precio ayer),1096.0,12.85518618237795,118.06060414860613,55.62697536648419,0.18669121018133147,
Δ expansiva,1096.0,12.498680853357175,113.95364955465652,53.17649585630324,0.17549438937995013,63.59489051094891
Δ deslizante,1096.0,12.66730197686409,114.28702212924216,53.57490064965295,0.1770223780329428,63.04744525547446
