,n,MAPE_%,RMSE_COP,MAE_COP,RMSE_log,DA_%
Ingenuo (precio ayer),1096.0,12.85518618237795,118.06060414860613,55.62697536648419,0.18669121018133147,
XGB expansiva,1096.0,12.575615914240961,113.31505590739549,57.660994111624774,0.1709984647178372,61.861313868613145
XGB deslizante,1096.0,14.061080802113576,130.94337471764126,67.99106459669048,0.19205060520880776,59.580291970802925
RF referencia,1096.0,12.953467915113082,125.36044253930388,60.51892569026026,0.18011264361990326,58.02919708029197
