fecha,real_log,real_nivel,ingenuo,xgb_expansiva,xgb_deslizante,rf_referencia,regimen
2023-01-01,6.214327385692727,499.8596633333334,6.259755406870986,6.180396556854248,6.211159706115723,6.328932897692115,medio
2023-01-02,6.236192196779618,510.9093599999998,6.214327385692727,6.192555904388428,6.186036109924316,6.187501657535465,medio
2023-01-03,6.274938107432771,531.0935100000002,6.236192196779618,6.225520133972168,6.180753231048584,6.189859873466331,medio
2023-01-04,6.322004639971895,556.6878333333333,6.274938107432771,6.197550296783447,6.247887134552002,6.322800953949418,medio
2023-01-05,6.329673405880049,560.9733533333335,6.322004639971895,6.26123571395874,6.215587615966797,6.342481047513913,medio
2023-01-06,6.266683580654389,526.7276283333335,6.329673405880049,6.294834613800049,6.2243428230285645,6.349210660258958,medio
2023-01-07,6.2210993644939325,503.2561899999999,6.266683580654389,6.116270065307617,6.099836826324463,6.286198673974298,medio
2023-01-08,6.030399414122686,415.881105,6.2210993644939325,6.03871488571167,5.9094929695129395,6.159642608623247,medio
2023-01-09,6.070014988059017,432.68716666666666,6.030399414122686,5.916306972503662,5.899063587188721,5.965575669053861,medio
2023-01-10,5.9455377919672125,382.0447666666666,6.070014988059017,6.034731388092041,5.9726972579956055,6.0580577474756945,medio
2023-01-11,6.084404389578046,438.9582866666669,5.9455377919672125,5.841886520385742,5.859048366546631,5.903084039679561,medio
2023-01-12,5.743182963315564,312.0560949999999,6.084404389578046,5.944275856018066,5.896233081817627,6.056576422684774,medio
2023-01-13,5.547580946981099,256.6160366666666,5.743182963315564,5.637814521789551,5.669594764709473,5.608925749014943,bajo
2023-01-14,5.521836167447313,250.09383,5.547580946981099,5.409854888916016,5.439867973327637,5.433383556854538,bajo
2023-01-15,5.361790570436638,213.10618666666662,5.521836167447313,5.37260627746582,5.392087936401367,5.4589460700220265,bajo
2023-01-16,5.322370473885498,204.8689433333333,5.361790570436638,5.404918193817139,5.430334091186523,5.386664935925046,bajo
2023-01-17,5.376245062236653,216.20889833333334,5.322370473885498,5.3966264724731445,5.4575724601745605,5.319848694394918,bajo
2023-01-18,5.523833540964683,250.59386000000015,5.376245062236653,5.401149272918701,5.422523498535156,5.350588927330662,bajo
2023-01-19,5.463124584665252,235.83315500000012,5.523833540964683,5.4849772453308105,5.505092620849609,5.4839678036375545,bajo
2023-01-20,5.495080466840303,243.49111833333328,5.463124584665252,5.438596725463867,5.437289714813232,5.407642719876941,bajo
2023-01-21,5.313361533445036,203.03157999999993,5.495080466840303,5.490576267242432,5.508620262145996,5.493626014627944,bajo
2023-01-22,5.273025771895388,195.00511166666664,5.313361533445036,5.278640270233154,5.3085808753967285,5.283355698458497,bajo
2023-01-23,5.4970991518694365,243.9831466666667,5.273025771895388,5.388205528259277,5.402709007263184,5.329961587283425,bajo
2023-01-24,5.525441909854494,250.99723166666658,5.4970991518694365,5.540594577789307,5.586336612701416,5.498590074143257,bajo
2023-01-25,5.627545157568633,277.97888499999993,5.525441909854494,5.567203044891357,5.594325065612793,5.513796657180729,medio
2023-01-26,5.855080742602878,349.0030783333334,5.627545157568633,5.688533782958984,5.654669284820557,5.6286778652930565,medio
2023-01-27,5.92975763983187,376.06336000000005,5.855080742602878,5.9288249015808105,5.910579204559326,5.897643734054924,medio
2023-01-28,5.982570848488973,396.45829333333353,5.92975763983187,5.960178375244141,6.031820774078369,5.914917584417034,medio
2023-01-29,6.115773649002133,452.94633333333354,5.982570848488973,5.941998481750488,6.031957626342773,5.959467407951265,medio
2023-01-30,6.343691089898387,568.8922733333333,6.115773649002133,6.2256293296813965,6.258007526397705,6.122760738708074,alto
2023-01-31,6.514882271554641,675.1144766666665,6.343691089898387,6.535664081573486,6.497390270233154,6.342860861793868,alto
2023-02-01,6.645032042758661,768.954686666667,6.514882271554641,6.671461582183838,6.4881792068481445,6.47289368396367,alto
2023-02-02,6.581972018830088,721.9616483333333,6.645032042758661,6.753381252288818,6.481252670288086,6.6766286102527115,alto
2023-02-03,6.6778847983611325,794.6365166666669,6.581972018830088,6.5962090492248535,6.444530010223389,6.581229675965339,alto
2023-02-04,6.68458136887377,799.9757133333333,6.6778847983611325,6.693902969360352,6.456085205078125,6.693841333518829,alto
2023-02-05,6.609291139502755,741.9568883333332,6.68458136887377,6.589532852172852,6.3845438957214355,6.669319385165393,alto
2023-02-06,6.341284413600499,567.5247800000001,6.609291139502755,6.6463117599487305,6.392913818359375,6.5964058649058055,alto
2023-02-07,6.525632799475137,682.4114666666669,6.341284413600499,6.37333345413208,6.4024529457092285,6.308451334360485,alto
2023-02-08,6.431927677955073,621.3705966666665,6.525632799475137,6.407789707183838,6.322046279907227,6.4656551492840295,alto
2023-02-09,6.338003650696057,565.6659166666665,6.431927677955073,6.361337661743164,6.305060386657715,6.393270721904116,alto
2023-02-10,6.322486299049716,556.9560316666667,6.338003650696057,6.294782638549805,6.308463096618652,6.307379869956753,medio
2023-02-11,6.408702224673604,607.105283333333,6.322486299049716,6.2795610427856445,6.2684431076049805,6.31139365192649,alto
2023-02-12,6.353165216737518,574.3076433333335,6.408702224673604,6.312548637390137,6.333919525146484,6.386543476330847,alto
2023-02-13,6.350606631817221,572.840106666667,6.353165216737518,6.366854667663574,6.4026618003845215,6.34445953589262,alto
2023-02-14,6.33316664958497,562.9363966666666,6.350606631817221,6.271331310272217,6.273613452911377,6.280732203182238,alto
2023-02-15,6.3060235581866975,547.8620699999999,6.33316664958497,6.3114728927612305,6.282533168792725,6.314692179987982,medio
2023-02-16,6.239230097137349,512.4638116666669,6.3060235581866975,6.322866916656494,6.225764274597168,6.314581674666217,medio
2023-02-17,6.207048251318017,496.23432833333345,6.239230097137349,6.2332844734191895,6.174266338348389,6.191220842362779,medio
2023-02-18,6.061459988076376,429.0013166666666,6.207048251318017,6.098015785217285,6.068908214569092,6.182759601921686,medio
2023-02-19,6.037790009727755,418.9660999999999,6.061459988076376,5.929912090301514,5.885719299316406,6.0112136162482255,medio
2023-02-20,6.023569340997382,413.05028500000003,6.037790009727755,6.052334308624268,6.014505863189697,5.993153215134165,medio
2023-02-21,6.049225598307037,423.78472333333343,6.023569340997382,5.94061279296875,5.909425258636475,5.982164948191568,medio
2023-02-22,5.862441680550494,351.58154666666655,6.049225598307037,5.993256568908691,5.9376983642578125,5.9871094868777,medio
2023-02-23,5.9215915205410194,373.00488666666683,5.862441680550494,5.803378105163574,5.7947211265563965,5.884456287090364,medio
2023-02-24,5.815364039398414,335.41347999999994,5.9215915205410194,5.872481822967529,5.868860721588135,5.910458846645658,medio
2023-02-25,5.700477173718051,299.01004666666677,5.815364039398414,5.751736164093018,5.695462226867676,5.790253838430818,medio
2023-02-26,5.753982311436822,315.4443600000002,5.700477173718051,5.668713092803955,5.643143177032471,5.6879221760853715,medio
2023-02-27,5.76642101488931,319.3925833333332,5.753982311436822,5.8430280685424805,5.815068244934082,5.849899993399505,medio
2023-02-28,5.922633104554965,373.3936049999999,5.76642101488931,5.793652534484863,5.759410858154297,5.780120091915267,medio
2023-03-01,5.925163611607968,374.3396766666667,5.922633104554965,5.948295593261719,5.962275505065918,5.926528372261691,medio
2023-03-02,6.022115099451762,412.45004666666676,5.925163611607968,5.923222541809082,5.990473747253418,5.923141816106127,medio
2023-03-03,6.076523261252907,435.5123966666668,6.022115099451762,5.992956638336182,6.098138332366943,6.001544704061236,medio
2023-03-04,6.109201077979331,449.97907333333336,6.076523261252907,6.0237650871276855,6.138775825500488,6.045866902278906,medio
2023-03-05,6.1394422777131625,463.7948300000001,6.109201077979331,6.067026615142822,6.156039237976074,6.110821722829979,medio
2023-03-06,6.218349968884713,501.87444000000005,6.1394422777131625,6.09811544418335,6.129635334014893,6.152322057192699,medio
2023-03-07,6.1898471814991325,487.77155999999985,6.218349968884713,6.102242469787598,6.121429443359375,6.205200810979087,medio
2023-03-08,6.154095248275738,470.6408366666667,6.1898471814991325,6.128658294677734,6.10327672958374,6.122066617803307,medio
2023-03-09,6.066994437321184,431.382185,6.154095248275738,6.055257320404053,6.093552112579346,6.079390148794569,medio
2023-03-10,5.767553602464482,319.75452833333327,6.066994437321184,5.88754940032959,5.9275383949279785,5.947044685821267,medio
2023-03-11,5.736312677759404,309.9195283333334,5.767553602464482,5.5799560546875,5.590626239776611,5.622772833701697,medio
2023-03-12,5.682118166841063,293.5706033333334,5.736312677759404,5.473016262054443,5.521854400634766,5.56599120885414,medio
2023-03-13,5.456081495710944,234.17799666666656,5.682118166841063,5.612680435180664,5.536814212799072,5.619665796416243,bajo
2023-03-14,5.250245640490129,190.61308499999998,5.456081495710944,5.334675312042236,5.376240253448486,5.366963174548519,bajo
2023-03-15,5.102088388334892,164.3648066666667,5.250245640490129,5.181835651397705,5.295169830322266,5.283892026385422,bajo
2023-03-16,5.139843929275172,170.68912666666668,5.102088388334892,4.986943244934082,5.061958312988281,5.006082722023301,bajo
2023-03-17,5.390090616967347,219.22325000000004,5.139843929275172,5.127198696136475,5.215409755706787,5.088620952344144,bajo
2023-03-18,5.315725872050444,203.51218333333338,5.390090616967347,5.266270637512207,5.331553936004639,5.337875315264422,bajo
2023-03-19,5.105034554088571,164.84976666666662,5.315725872050444,5.153191089630127,5.200160980224609,5.268136313378861,bajo
2023-03-20,5.457772176004411,234.57425166666664,5.105034554088571,5.125278472900391,5.0934882164001465,5.042145989238429,bajo
2023-03-21,5.674064252596882,291.21570666666656,5.457772176004411,5.389819145202637,5.377038955688477,5.409166181321336,medio
2023-03-22,5.833797260705931,341.6535666666666,5.674064252596882,5.628030300140381,5.53623104095459,5.570900387288101,medio
2023-03-23,5.774038328985188,321.83478666666673,5.833797260705931,5.751666069030762,5.790585994720459,5.7306220609085905,medio
2023-03-24,5.7969820296683405,329.30422833333347,5.774038328985188,5.7471184730529785,5.720691680908203,5.654640803988562,medio
2023-03-25,5.4646651935366215,236.19676166666673,5.7969820296683405,5.675451278686523,5.715215682983398,5.644451837730279,bajo
2023-03-26,5.227044129144803,186.24148333333326,5.4646651935366215,5.270596981048584,5.35614013671875,5.383745770849056,bajo
2023-03-27,5.194973658358699,180.36339166666667,5.227044129144803,5.182808876037598,5.214843273162842,5.15231250059125,bajo
2023-03-28,5.249894693595435,190.54620166666666,5.194973658358699,5.29459285736084,5.331930637359619,5.216625095146028,bajo
2023-03-29,5.050550338795163,156.1083533333333,5.249894693595435,5.255183696746826,5.332141399383545,5.296894429883337,bajo
2023-03-30,5.126647053326371,168.4513616666667,5.050550338795163,5.067488670349121,5.11338996887207,5.0300337713017,bajo
2023-03-31,5.096493387791772,163.4477533333334,5.126647053326371,5.146543979644775,5.190450191497803,5.123676834109535,bajo
2023-04-01,5.0117486518612,150.16709666666677,5.096493387791772,5.024069309234619,5.066651344299316,5.081713934860075,bajo
2023-04-02,5.038675640939328,154.2655766666667,5.0117486518612,4.952239036560059,5.010978698730469,4.985466135723711,bajo
2023-04-03,4.9931009848869845,147.39277833333338,5.038675640939328,5.136940002441406,5.145963668823242,5.090514131859104,bajo
2023-04-04,5.0129992089577,150.3550066666667,4.9931009848869845,5.001120090484619,5.038033962249756,4.993862506408807,bajo
2023-04-05,4.974702439341379,144.70575999999997,5.0129992089577,4.984633445739746,5.01567268371582,4.996847375590509,bajo
2023-04-06,4.946147509449346,140.63213500000006,4.974702439341379,4.946048736572266,5.015289783477783,4.9905960326122765,bajo
2023-04-07,4.898318715103486,134.06418999999997,4.946147509449346,4.961069583892822,5.037648677825928,4.998521990309895,bajo
2023-04-08,4.955391763343944,141.93820166666663,4.898318715103486,4.879886150360107,4.9353413581848145,4.924319791206986,bajo
2023-04-09,4.891630387259224,133.17051666666663,4.955391763343944,4.937432289123535,4.995409965515137,4.995052761739323,bajo
2023-04-10,4.9662102771273515,143.48209833333337,4.891630387259224,4.969690799713135,5.013387203216553,4.971486871129496,bajo
2023-04-11,4.979310740944845,145.3741466666667,4.9662102771273515,4.9703803062438965,5.023468971252441,4.994422775555287,bajo
2023-04-12,5.552070669281314,257.7707616666666,4.979310740944845,4.999455451965332,5.041881561279297,4.99494148748252,bajo
2023-04-13,5.490372976683451,242.34757999999997,5.552070669281314,5.456212043762207,5.434653282165527,5.541880464899745,bajo
2023-04-14,5.5019113985315435,245.1600833333334,5.490372976683451,5.413513660430908,5.423844814300537,5.516908523440776,bajo
2023-04-15,5.368797544779102,214.60466000000005,5.5019113985315435,5.501657009124756,5.515787124633789,5.5326070689974225,bajo
2023-04-16,5.356740240806041,212.03264333333343,5.368797544779102,5.324282646179199,5.377935409545898,5.347800997030542,bajo
2023-04-17,5.687446420512912,295.13899666666674,5.356740240806041,5.526548862457275,5.4496169090271,5.42661601109857,medio
2023-04-18,5.673373369009158,291.01457999999997,5.687446420512912,5.602423191070557,5.596373558044434,5.655792473045451,medio
2023-04-19,5.569765821454665,262.37265000000014,5.673373369009158,5.565102577209473,5.604317665100098,5.63461048604106,bajo
2023-04-20,5.716486996040893,303.83567,5.569765821454665,5.482900619506836,5.475096225738525,5.505820617521647,medio
2023-04-21,5.76744549807413,319.71996333333334,5.716486996040893,5.649782657623291,5.664000511169434,5.7053663138489865,medio
2023-04-22,5.812782220276363,334.5486199999998,5.76744549807413,5.707087516784668,5.689445972442627,5.704284455093462,medio
2023-04-23,5.832703391463146,341.2800466666665,5.812782220276363,5.620632171630859,5.611437797546387,5.613442527143397,medio
2023-04-24,5.838921399508161,343.4087399999999,5.832703391463146,5.780223369598389,5.75564432144165,5.786907028631529,medio
2023-04-25,5.8105255341596935,333.7945,5.838921399508161,5.698856830596924,5.683128356933594,5.781510799214979,medio
2023-04-26,5.779979334991655,323.75250000000005,5.8105255341596935,5.6844611167907715,5.693360805511475,5.694682312865767,medio
2023-04-27,5.518323621691119,249.21690499999997,5.779979334991655,5.652582168579102,5.630281448364258,5.681884373575355,bajo
2023-04-28,5.540570520758757,254.82334,5.518323621691119,5.450069904327393,5.458889961242676,5.447776979375389,bajo
2023-04-29,5.231481497415115,187.06974166666666,5.540570520758757,5.40026330947876,5.369086742401123,5.386835003283529,bajo
